Num,Platillo,Color,
1,Aguacate,naranja
2,Tocino,azul
3,Chile serrano,verde
4,Comino,rosa
5,Frijol,rojo
6,Naranja,naranja
7,Chile guajillo,verde
8,Cilantro,verde
9,Jitomate,naranja
10,Naranja,naranja
11,Cerdo,azul
12,Pápalo,verde
13,Chile serrano,verde
14,Cilantro,verde
15,Epazote,verde
16,Nuez,rojo
17,Cebolla,verde
18,Comino,rosa
19,Vinagre,rosa
20,Chile serrano,verde
21,Epazote,verde
22,Escamol,azul
23,Ajo,verde
24,Cilantro,verde
25,Queso Chihuahua,azul
26,Cebolla,verde
27,Bolillo,amarillo
28,Cilantro,verde
29,X,blanco
30,Lechuga,verde
31,Ajo,verde
32,Chile habanero,verde
33,Cilantro,verde
34,Ajo,verde
35,Tomillo,rosa
36,Machaca,azul
37,Chile guajillo,verde
38,Jitomate,naranja
39,Xoconostle,verde
40,Pimienta,rosa
41,Chile guajillo,verde
42,Jitomate,naranja
43,Epazote,verde
44,Clavo,rosa
45,Tomate,verde
46,Perejil,verde
47,Limón,naranja
48,Chile guajillo,verde
49,Zanahoria,verde
50,Pepitas,rojo
51,Tomillo,rosa
52,Aguacate,naranja
53,Manteca de cerdo,azul
54,Pechuga de pollo,azul
55,Pimienta,rosa
56,Aguacate,naranja
57,Pimienta,rosa
58,Epazote,verde
59,Lechuga,verde
60,Orégano,rosa
61,Tomate,verde
62,Cilantro,verde
63,Chile guajillo,verde
64,X,blanco
65,Ajo,verde
66,Cilantro,verde
67,Laurel,rosa
68,Tomate,verde
69,Repollo,verde
70,Frijol ,rojo
71,Sal,rosa
