Num,Platillo,Nombre,
1,Apinol,apinol
2,Atole de cajeta,atoledecajeta
3,Bajicopo/Jipoko,bajicopo
4,Batarete,batarete
5,Cacahuada,cacahuada
6,Cebadina,cebadina
7,Champurrado,champurrado
8,Charagua,charagua
9,Charape,charape
10,Chicha,chicha
11,Chilate,chilate
12,Chileatole,chileatole
13,Chiloctli,chiloctli
14,Chorote,chorote
15,Coyote,coyote
16,Cuba,cuba
17,Cucaracha,cucaracha
18,Elisquiate,elisquiate
19,Escamochas,escamochas
20,Esmeralda,esmeralda
21,Esmoloc,esmoloc
22,Guarapo,guarapo
23,Horchata,horchata
24,Jeque,jeque
25,Jobito,jobito
26,Margarita,margarita
27,Masa deleída,masadeleída
28,Mejengue,mejengue
29,Menyul,menyul
30,Michelada,michelada
31,Mistela,mistela
32,Nochotle,nochotle
33,Polla,polla
34,Ponche,ponche
35,Popo,popo
36,Posh,posh
37,Pozol,pozol
38,Pozonque,pozonque
39,Pulunche,pulunche
40,Pulque,pulque
41,Puzunque,puzunque
42,Revoltijo,revoltijo
43,Rompope,rompope
44,Sangría,sangría
45,Sangrita,sangrita
46,Sendi,sendi
47,Tanchucüa,tanchucüa
48,Tecui,tecui
49,Tecuino,tecuino
50,Tascalate,tascalate
51,Tejate,tejate
52,Tejuino,tejuino
53,Tepache,tepache
54,Tesgüino,tesgüino
55,Torito,torito
56,Toro,toro
57,Tuba almendrada,tubaalmendrada
58,Vino de fruta,vinodefruta
59,Vino excelso,vinoexcelso
60,Xochistle,xochistle
61,Zendacho,zendacho
62,Zotol,zotol
