Num,Platillo,Nombre,
1,Alegrías,alegrías
2,Algodón de azúcar,algodóndeazúcar
3,Arroz con leche,arrozconleche
4,Ate,ate
5,Atropellado,atropellado
6,Batarete,batarete
7,Besos de ángel,besosdeángel
8,Borrachitos,borrachitos
9,Buñuelos,buñuelos
10,Burritos,burritos
11,Cabellos de ángel,cabellosdeángel
12,Calabaza en tacha,calabazaentacha
13,Camote poblano,camotepoblano
14,Capirotada,capirotada
15,Chancaquilla,chancaquilla
16,Chongos zamoranos,chongoszamoranos
17,Churros,churros
18,Cocada,cocada
19,Dulce de frijol,dulcedefrijol
20,Duquesa,duquesa
21,Espuma de mar,espumademar
22,Garbanzos en miel,garbanzosenmiel
23,Gaznate,gaznate
24,Gloria,gloria
25,Gorditas de nata,gorditasdenata
26,Guayaizote,guayaizote
27,Huesitos,huesitos
28,Jamoncillo,jamoncillo
29,Jericallas,jericallas
30,Lechecilla,lechecilla
31,Maganza,maganza
32,Mazapán,mazapán
33,Mejido,mejido
34,Melcocha,melcocha
35,Moreliana,moreliana
36,Mueganos,mueganos
37,Nenguanitos,nenguanitos
38,Nicuatole,nicuatole
39,Oreja de mico,orejademico
40,Palanqueta,palanqueta
41,Pan de elote,pandeelote
42,Pepitoria,pepitoria
43,Pintadera,pintadera
44,Plátanos fritos,plátanosfritos
45,Ponteduro,ponteduro
46,Postre de guayaba,postredeguayaba
47,Queso de almendra,quesodealmendra
48,Rabia,rabia
49,Rollo de guayaba,rollodeguayaba
50,Tenesnelo,tenesnelo
51,Tlatoquil,tlatoquil
52,Tortolito,tortolito
53,Tortugas de tamarindo,tortugasdetamarindo
54,Trompada,trompada
55,Zorrillo,zorrillo
