Num,Platillo,Nombre,
1,Aguachile,aguachile,
2,Alambre,alambre,
3,Barbacoa de borrego,barbacoadeborrego,
4,Birria,birria,
5,Burritos,burritos,
6,Cabrito al pastor,cabritoalpastor,
7,Caldo de gallina,caldodegallina,
8,Caldo de piedra,caldodepiedra,
9,Caldo tlalpeño,caldotlalpeño,
10,Camarones a la diabla,camaronesaladiabla,
11,Carnitas michoacanas,carnitasmichoacanas,
12,Cemitas,cemitas,
13,Ceviche,ceviche,
14,Chicharron en salsa,chicharronensalsa,
15,Chilaquiles verdes,chilaquilesverdes,
16,Chiles en nogada,chilesennogada,
17,Chile relleno,chilerelleno,
18,Chilorio,chilorio,
19,Cochinita pibil,cochinitapibil,
20,Enchiladas verdes,enchiladasverdes,
21,Enfrijoladas,enfrijoladas,
22,Escamoles,escamoles,
23,Flautas,flautas,
24,Frijoles charros,frijolescharros,
25,Frijoles puercos,frijolespuercos,
26,Gordita de chicharrón,gorditadechicharrón,
27,Guacamaya,guacamaya,
28,Guacamole,guacamole,
29,Guajolota,guajolota,
30,Huarache,huarache,
31,Huazontles rellenos,huazontlesrellenos,
32,Huevos motuleños,huevosmotuleños,
33,Huevos rancheros,huevosrancheros,
34,Huitlacoche,huitlacoche,
35,Lechón al horno,lechónalhorno,
36,Machaca con huevo,machacaconhuevo,
37,Menudo, menudo,
38,Mixiotes,mixiotes,
39,Mole de olla, moledeolla,
40,Mole poblano,molepoblano,
41,Pambazo,pambazo,
42,Pan de cazón,pandecazón,
43,Pancita,pancita,
44,Panuchos de cochinita pibil,panuchosdecochinitapibil,
45,Papadzul,papadzul,
46,Pastes originales,pastesoriginales,
47,Pellizcadas,pellizcadas,
48,Pescado zarandeado,pescadozarandeado,
49,Picadillo,picadillo,
50,Pipián,pipián,
51,Poc chuc,pocchuc,
52,Pozole,pozole,
53,Quesadillas,quesadillas,
54,Rajas con pollo,rajasconpollo,
55,Romeritos, romeritos,
56,Salpicón,salpicón,
57,Sopa de lima,sopadelima,
58,Sopa de tortilla,sopadetortilla,
59,Sope verde,sopeverde,
60,Tacos al pastor,tacosalpastor,
61,Tacos de asada,tacosdeasada,
62,Tacos de cabeza,tacosdecabeza,
63,Tacos de canasta de chicharrón,tacosdecanastadechicharrón,
64,Tacos de canasta de frijol, tacosdecanastadefrijol,
65,Tacos gobernador,tacosgobernador,
66,Tamal verde,tamalverde,
67,Tinga de pollo, tingadepollo,
68,Tlacoyos, tlacoyos,
69,Tlayuda,tlayuda,
70,Torta ahogada,tortaahogada,
71,Vuelve a la vida,vuelvealavida
